gene	Sample_T0_1_FP	Sample_T0_2_FP	Sample_T0_3_FP	Sample_2hr_2_FP	Sample_2hr_3_FP	Sample_T0_1_RNA	Sample_T0_2_RNA	Sample_T0_3_RNA	Sample_2hr_1_RNA	Sample_2hr_2_RNA	Sample_2hr_3_RNA
ENSMUSG00000000028	2	3	2	5	8	6780	4429	6679	2128	2841	3226
ENSMUSG00000000078	0	5	10	4	12	19197	12977	19158	11375	13562	17042
ENSMUSG00000000171	2	2	5	7	1	4806	2962	4609	1600	2284	2918
ENSMUSG00000000184	1	0	2	4	11	4786	3369	4677	4775	6874	7925
ENSMUSG00000000282	4	5	2	2	2	1008	682	1044	403	577	619
ENSMUSG00000000290	9	23	6	11	7	14891	9510	14570	4607	6093	7465
ENSMUSG00000000346	4	1	2	1	12	8768	5780	8331	3633	4692	5706
ENSMUSG00000000399	3	5	3	6	9	3925	2479	3791	1353	1878	2348
ENSMUSG00000000409	7	11	17	20	13	21045	14024	21003	7464	11051	13062
ENSMUSG00000000486	9	13	12	10	14	9015	5885	9157	2547	3518	4132
ENSMUSG00000000563	4	8	2	4	3	9220	5834	8929	3824	4635	5634
ENSMUSG00000000568	2	7	9	7	12	3948	2792	3783	1605	2020	2054
ENSMUSG00000000682	8	16	22	23	16	13755	8979	13546	4120	5537	6522
ENSMUSG00000000751	7	15	4	8	10	13957	8783	13822	3701	4892	5853
ENSMUSG00000000782	1	4	14	7	8	11223	7674	10706	2298	3198	3564
ENSMUSG00000000787	8	7	16	25	29	23218	15491	22885	14246	19695	22421
ENSMUSG00000000791	3	3	5	0	6	3488	2117	3226	1101	1486	1958
ENSMUSG00000000982	3	3	6	25	36	5154	3460	4880	16814	21396	23089
ENSMUSG00000001016	6	6	0	7	4	4646	2979	4365	1924	2571	3069
ENSMUSG00000001025	10	5	8	10	9	8548	5490	8363	2117	2985	4082
ENSMUSG00000001151	2	8	5	2	6	10869	7158	10650	2793	3557	4187
ENSMUSG00000001175	2	9	18	20	13	24443	15215	23700	9365	11595	13722
ENSMUSG00000001228	7	4	12	4	13	17993	12404	18360	4495	6366	7920
ENSMUSG00000001248	0	3	10	0	2	17359	10679	16959	4773	6577	7802
ENSMUSG00000001280	0	0	5	8	9	10433	7040	10215	5480	7243	8131
ENSMUSG00000001281	6	19	30	14	25	26000	15675	25561	4018	5444	6935
ENSMUSG00000001348	1	5	3	2	4	2010	1353	1951	300	446	552
ENSMUSG00000001380	2	6	6	6	5	4414	2777	4417	2118	2845	3433
ENSMUSG00000001403	2	3	4	2	4	2914	2122	3000	871	1013	1096
ENSMUSG00000001416	3	3	6	3	6	10295	6249	9893	5906	8247	10156
ENSMUSG00000001418	4	2	5	9	3	1924	1309	1909	500	720	822
ENSMUSG00000001419	0	0	3	7	5	5097	3535	5240	1519	2026	2345
ENSMUSG00000001424	1	2	7	5	2	9802	5964	9352	3251	4440	5361
ENSMUSG00000001440	11	19	12	25	22	24828	15461	23605	10983	14705	17225
ENSMUSG00000001444	8	6	1	11	15	4537	2764	4629	3166	4946	6107
ENSMUSG00000001472	1	2	1	9	4	11803	7415	11552	4217	5767	7121
ENSMUSG00000001525	16	27	47	73	64	77363	52991	77841	22728	29660	35642
ENSMUSG00000001588	3	3	3	13	3	9815	6118	9930	2829	3819	4892
ENSMUSG00000001700	2	6	0	6	2	19992	13815	20126	2783	3459	4465
ENSMUSG00000001741	4	8	9	5	6	7529	5043	7618	1317	1522	2035
ENSMUSG00000001783	4	1	5	7	7	6413	4096	6381	3304	4544	5494
