gene	Sample_T0_1_FP	Sample_T0_2_FP	Sample_T0_3_FP	Sample_2hr_2_FP	Sample_2hr_3_FP	Sample_T0_1_RNA	Sample_T0_2_RNA	Sample_T0_3_RNA	Sample_2hr_1_RNA	Sample_2hr_2_RNA	Sample_2hr_3_RNA
ENSMUSG00000000001	0	2	1	6	3	10821	6686	10440	5368	6533	8246
ENSMUSG00000000003	0	0	0	0	0	0	12	1	15	14	0
ENSMUSG00000000028	2	3	2	5	8	6780	4429	6679	2128	2841	3226
ENSMUSG00000000037	0	0	1	0	0	36	85	42	54	64	31
ENSMUSG00000000049	0	0	0	0	0	16	25	15	43	44	38
ENSMUSG00000000056	1	0	0	0	2	1205	787	1167	322	342	499
ENSMUSG00000000058	0	0	1	0	1	22	39	21	32	40	22
ENSMUSG00000000078	0	5	10	4	12	19197	12977	19158	11375	13562	17042
ENSMUSG00000000085	1	0	0	0	0	423	349	430	188	266	198
ENSMUSG00000000088	1	5	2	4	2	3828	2386	4067	1554	2048	2620
ENSMUSG00000000093	1	0	0	0	0	14	25	16	34	17	24
ENSMUSG00000000094	0	1	1	2	1	8	24	11	44	41	42
ENSMUSG00000000103	0	0	0	0	0	0	7	3	18	8	0
ENSMUSG00000000120	0	0	0	0	0	3	12	8	23	18	14
ENSMUSG00000000125	0	0	0	0	0	10	16	10	23	19	11
ENSMUSG00000000126	0	0	0	0	0	8	22	8	20	27	11
ENSMUSG00000000127	0	0	0	0	0	26	68	26	69	54	27
ENSMUSG00000000131	0	1	0	3	4	7382	4761	7481	3249	4554	5253
ENSMUSG00000000134	0	4	3	5	2	1854	1270	1896	909	1272	1351
ENSMUSG00000000142	0	0	0	0	0	613	439	573	7870	13327	12612
ENSMUSG00000000148	0	0	0	3	8	1079	661	1044	403	523	729
ENSMUSG00000000149	0	1	0	0	0	763	480	766	295	385	498
ENSMUSG00000000154	0	0	0	0	0	7	10	5	12	16	14
ENSMUSG00000000157	0	0	0	0	0	8	38	27	31	27	30
ENSMUSG00000000159	0	0	0	0	0	26	15	20	23	17	11
ENSMUSG00000000167	0	0	0	0	0	49	68	59	53	69	43
ENSMUSG00000000168	2	1	0	3	7	1858	1273	1940	912	1122	1349
